Container length: 24400
Container width: 12200
Boxes Volume: 2.8240666E8
Container Volume: 297680000
Utilization: 94.86920854608977

Packed Boxes: 25
format: x y length width
0 0  16080 930
8680 11320  15720 880
0 7630  5620 4570
18780 0  5620 4565
18780 6755  5620 4565
0 930  5404 4700
17210 4565  7190 1180
0 6450  7190 1180
15320 5825  9080 930
5620 8120  1180 4080
17650 0  1130 4080
5404 930  5403 4700
11160 8745  7620 2575
16520 0  1130 4080
7190 7200  1130 5000
10060 7865  8720 880
10060 6985  8720 880
0 5630  3670 750
10930 930  5590 1550
8320 5730  1550 5590
3670 5630  3670 750
11116 2480  5404 880
11116 3360  5404 880
11620 4240  5590 1550
9916 6105  5404 880

numOfBlemishes: 0
