Container length: 24400
Container width: 12200
Boxes Volume: 2.790495393E8
Container Volume: 297680000
Utilization: 93.74144695646332

Packed Boxes: 34
format: x y length width
0 0  9000 2790
17235 9210  7165 2990
0 9210  6920 2990
15020 0  9380 1380
18650 1380  5750 1400
18650 2780  5750 1400
0 2790  5540 1350
18860 7860  5540 1350
0 7860  5540 1350
0 4140  5540 1350
18860 4180  5540 1190
18860 6670  5540 1190
0 6710  5540 1150
18860 5370  5540 1150
0 5490  5540 1150
6920 11050  5540 1150
13100 1380  5550 1010
16225 6650  1010 5550
6920 10040  5550 1010
13100 2390  5550 1010
15215 6650  1010 5550
5540 2790  5550 1010
5540 8200  5550 1010
17640 3660  1010 5550
9000 0  3488 960
12475 6558  2740 5642
5540 3800  6050 1590
5540 5460  5642 2740
9000 960  3488 960
13140 3400  4500 1100
14262 4500  3378 960
12500 5460  5140 1080
12140 1920  960 3378
11182 5540  1140 4500

numOfBlemishes: 0
