BatchNo, BoardNo, Color, UPI, X, Y, R, L, W, Area, Type, SubCode
Others1,1,0,066678135+066568008,0,0,0,658.0,558.0,3.67164E7,0,0
Others1,1,0,066618067,0,11620,0,1798.0,58.0,1.04284E7,0,0
Others1,1,0,066623072,0,5670,0,2208.0,595.0,1.31376E8,0,0
Others1,1,0,066647100,6580,0,0,422.0,88.0,3713600.0,0,0
Others1,1,0,066599045,6580,880,0,658.0,358.0,2.35564E7,0,0
Others1,1,0,066593037,10800,0,0,772.0,68.0,5249600.0,0,0
Others1,1,0,066651105,6580,4460,0,595.0,58.0,3451000.0,0,0
Others1,1,0,066620069,6580,5040,0,1468.0,58.0,8514400.0,0,0
Others1,1,0,066613061,13160,680,90,372.0,358.0,1.33176E7,0,0
Others1,1,0,066643096,12530,4460,0,658.0,58.0,3816400.0,0,0
Others1,1,0,066606054,16740,680,0,758.0,358.0,2.71364E7,0,0
Others1,1,0,066650104,17980,11620,0,470.0,58.0,2726000.0,0,0
Others1,1,0,066655109,18520,0,0,572.0,68.0,3889600.0,0,0
Others1,1,0,066681138,22080,5900,90,572.0,68.0,3889600.0,0,0
Others1,1,0,066671127,22760,5620,90,658.0,58.0,3816400.0,0,0
Others1,1,0,066675131,23340,7980,90,422.0,88.0,3713600.0,0,0
Others1,1,0,066578019,19110,4260,0,422.0,68.0,2869600.0,0,0
Others1,1,0,066607055,23340,4400,90,358.0,85.0,3043000.0,0,0
Others1,2,0,066564004,0,0,0,658.0,558.0,3.67164E7,0,0
Others1,2,0,066574015,0,5620,90,658.0,558.0,3.67164E7,0,0
Others1,2,0,066582024,5580,6620,0,658.0,558.0,3.67164E7,0,0
Others1,2,0,066645098,6580,0,90,658.0,98.0,6448400.0,0,0
Others1,2,0,066637088,7560,0,0,987.0,595.0,5.87265E7,0,0
Others1,2,0,066589033,12160,6620,0,658.0,558.0,3.67164E7,0,0
Others1,2,0,066610058,7560,6040,0,358.0,58.0,2076400.0,0,0
Others1,2,0,066657111,17430,0,0,658.0,558.0,3.67164E7,0,0
Others1,2,0,066673129,18740,5620,90,658.0,558.0,3.67164E7,0,0
Others1,3,0,066636087,0,0,90,488.0,595.0,2.9036E7,0,0
Others1,3,0,066629078,0,6255,0,572.0,594.5,3.40054E7,0,0
Others1,3,0,066612060,5720,8620,0,758.0,358.0,2.71364E7,0,0
