Container length: 24400
Container width: 12200
Boxes Volume: 2.680743193E8
Container Volume: 297680000
Utilization: 90.05452811744156

Packed Boxes: 32
format: x y length width
0 0  9000 2790
17235 9210  7165 2990
0 9210  6920 2990
15020 0  9380 1380
18650 1380  5750 1400
18650 2780  5750 1400
0 2790  5540 1350
18860 7860  5540 1350
0 7860  5540 1350
0 4140  5540 1350
18860 4180  5540 1190
18860 6670  5540 1190
0 6710  5540 1150
18860 5370  5540 1150
0 5490  5540 1150
6920 11050  5540 1150
13100 1380  5550 1010
16225 6650  1010 5550
6920 10040  5550 1010
13100 2390  5550 1010
15215 6650  1010 5550
5540 2790  5550 1010
5540 8200  5550 1010
17640 3660  1010 5550
5540 3800  4062 2940
11090 3400  4062 2940
12470 6340  2740 5642
9000 0  3378 960
5540 6740  4500 1300
9000 960  3488 960
11090 6340  960 3488
10040 3800  960 3378

numOfBlemishes: 0
